source_index,sample_seed,source_split,source_split_id,geometry_id,geometry_partition,assignment_seed,assignment_rule,mask_bits,active_angles_degrees,family_id,noise_level
33,30260854,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",1,0.05
34,30260855,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",1,0.02
35,30260856,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",1,0.05
36,30260857,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",0,0.02
37,30260858,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",0,0.05
38,30260859,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",0,0.02
39,30260860,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",0,0.05
40,30260861,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",0,0.02
41,30260862,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",0,0.05
42,30260863,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",1,0.02
43,30260864,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",1,0.05
44,30260865,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",1,0.02
45,30260866,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",1,0.05
46,30260867,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",1,0.02
47,30260868,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",1,0.05
48,30260869,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",0,0.02
49,30260870,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",0,0.05
50,30260871,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",0,0.02
51,30260872,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",0,0.05
52,30260873,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",0,0.02
53,30260874,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",0,0.05
54,30260875,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",1,0.02
55,30260876,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",1,0.05
56,30260877,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",1,0.02
57,30260878,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",1,0.05
58,30260879,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",1,0.02
59,30260880,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",1,0.05
60,30260881,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",0,0.02
61,30260882,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",0,0.05
62,30260883,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",0,0.02
63,30260884,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",0,0.05
64,30260885,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",0,0.02
65,30260886,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",0,0.05
66,30260887,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",1,0.02
67,30260888,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",1,0.05
68,30260889,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",1,0.02
69,30260890,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",1,0.05
70,30260891,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",1,0.02
71,30260892,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",1,0.05
72,30260893,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",0,0.02
73,30260894,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",0,0.05
74,30260895,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",0,0.02
75,30260896,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",0,0.05
76,30260897,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",0,0.02
77,30260898,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",0,0.05
78,30260899,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",1,0.02
79,30260900,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",1,0.05
80,30260901,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",1,0.02
81,30260902,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",1,0.05
82,30260903,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",1,0.02
83,30260904,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",1,0.05
84,30260905,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",0,0.02
85,30260906,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",0,0.05
86,30260907,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",0,0.02
87,30260908,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",0,0.05
88,30260909,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",0,0.02
89,30260910,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",0,0.05
90,30260911,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",1,0.02
91,30260912,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",1,0.05
92,30260913,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",1,0.02
93,30260914,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",1,0.05
94,30260915,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",1,0.02
95,30260916,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",1,0.05
96,30260917,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",0,0.02
97,30260918,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",0,0.05
98,30260919,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",0,0.02
99,30260920,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",0,0.05
100,30260921,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",0,0.02
101,30260922,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",0,0.05
102,30260923,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",1,0.02
103,30260924,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",1,0.05
104,30260925,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",1,0.02
105,30260926,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",1,0.05
106,30260927,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",1,0.02
107,30260928,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",1,0.05
108,30260929,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",0,0.02
109,30260930,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",0,0.05
110,30260931,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",0,0.02
111,30260932,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",0,0.05
112,30260933,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",0,0.02
113,30260934,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",0,0.05
114,30260935,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",1,0.02
115,30260936,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",1,0.05
116,30260937,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",1,0.02
117,30260938,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",1,0.05
118,30260939,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",1,0.02
119,30260940,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",1,0.05
120,30260941,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",0,0.02
121,30260942,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",0,0.05
122,30260943,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",0,0.02
123,30260944,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",0,0.05
124,30260945,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",0,0.02
125,30260946,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",0,0.05
126,30260947,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",1,0.02
127,30260948,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",1,0.05
128,30260949,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",1,0.02
129,30260950,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",1,0.05
130,30260951,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",1,0.02
131,30260952,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",1,0.05
132,30260953,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",0,0.02
133,30260954,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",0,0.05
134,30260955,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",0,0.02
135,30260956,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",0,0.05
136,30260957,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",0,0.02
137,30260958,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",0,0.05
138,30260959,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",1,0.02
139,30260960,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",1,0.05
140,30260961,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",1,0.02
141,30260962,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",1,0.05
142,30260963,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",1,0.02
143,30260964,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",1,0.05
144,30260965,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",0,0.02
145,30260966,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",0,0.05
146,30260967,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",0,0.02
147,30260968,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",0,0.05
148,30260969,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",0,0.02
149,30260970,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",0,0.05
150,30260971,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",1,0.02
151,30260972,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",1,0.05
152,30260973,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",1,0.02
153,30260974,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",1,0.05
154,30260975,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",1,0.02
155,30260976,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",1,0.05
156,30260977,train,0,g_111011001,train,20261221,sha256 source ordering + balanced cyclic geometry,111011001,"0,20,40,80,100,160",0,0.02
157,30260978,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",0,0.05
158,30260979,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",0,0.02
159,30260980,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",0,0.05
160,30360821,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",0,0.02
161,30360822,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",0,0.05
162,30360823,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",0,0.02
163,30360824,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",0,0.05
164,30360825,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",0,0.02
165,30360826,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",0,0.05
166,30360827,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",1,0.02
167,30360828,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",1,0.05
168,30360829,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",1,0.02
169,30360830,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",1,0.05
170,30360831,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",1,0.02
171,30360832,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",1,0.05
172,30360833,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",0,0.02
173,30360834,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",0,0.05
174,30360835,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",0,0.02
175,30360836,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",0,0.05
176,30360837,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",0,0.02
177,30360838,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",0,0.05
178,30360839,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",1,0.02
179,30360840,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",1,0.05
180,30360841,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",1,0.02
181,30360842,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",1,0.05
182,30360843,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",1,0.02
183,30360844,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",1,0.05
184,30360845,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",0,0.02
185,30360846,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",0,0.05
186,30360847,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",0,0.02
187,30360848,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",0,0.05
188,30360849,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",0,0.02
189,30360850,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",0,0.05
190,30360851,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",1,0.02
191,30360852,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",1,0.05
192,30360853,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",1,0.02
193,30360854,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",1,0.05
194,30360855,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",1,0.02
195,30360856,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",1,0.05
196,30360857,val,1,g_111010110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111010110,"0,20,40,80,120,140",0,0.02
197,30360858,val,1,g_111001110,validation,20261221,sha256 source ordering + balanced cyclic geometry,111001110,"0,20,40,100,120,140",0,0.05
198,30360859,val,1,g_101011110,validation,20261221,sha256 source ordering + balanced cyclic geometry,101011110,"0,40,80,100,120,140",0,0.02
199,30360860,val,1,g_011010111,validation,20261221,sha256 source ordering + balanced cyclic geometry,011010111,"20,40,80,120,140,160",0,0.05
200,30460821,test_iid,2,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.02
201,30460822,test_iid,2,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.05
202,30460823,test_iid,2,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",0,0.02
203,30460824,test_iid,2,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",0,0.05
204,30460825,test_iid,2,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.02
205,30460826,test_iid,2,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.05
206,30460827,test_iid,2,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",1,0.02
207,30460828,test_iid,2,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",1,0.05
208,30460829,test_iid,2,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",1,0.02
209,30460830,test_iid,2,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",1,0.05
210,30460831,test_iid,2,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",1,0.02
