rig_id,split,nominal_aperture_radius,nominal_cone_u,nominal_cone_z,nominal_bend,truth_aperture_radius,truth_cone_u,truth_cone_z,truth_bend,truth_fields_are_feature_forbidden,nominal_angles_degrees,truth_angles_degrees
dco-rig-010,train,0.0940243857940424,0.05620147489395139,0.08958766867222345,0.05371774224408331,0.13531261092588254,0.04994919555267079,0.09609180514047011,0.05123843027894631,True,2.404768 31.676932 67.148869 92.691469 114.520645 145.731646 179.500000,2.118918 32.558635 67.930148 92.887581 114.396326 144.399213 179.986580
dco-rig-011,train,0.08245710910231213,0.0739388132822794,0.03607000502383965,0.024828721340060173,0.1115384425688835,0.06396656172315517,0.03261289869559852,0.019184505180651398,True,1.586347 31.125021 62.449478 86.377527 119.333461 152.876166 179.500000,1.417592 32.250495 63.452080 86.354868 118.674120 152.277078 179.104862
dco-rig-012,train,0.04123937813371785,0.09146017713417354,0.03670713864926462,0.02442588483477589,0.08395707866652213,0.10144612826797925,0.03851774040775611,0.029618718839428782,True,2.366833 35.173569 59.133694 91.150697 114.231605 144.772751 177.411156,2.617525 36.500743 59.800583 91.019771 113.743756 143.869378 176.589468
dco-rig-013,train,0.05235545179377751,0.10519240003735432,0.08654452257527037,0.028659120694640796,0.0820800305289264,0.12211533286990559,0.08467143253950994,0.03324084564244188,True,7.873518 31.243387 56.634806 94.149014 121.279569 143.089616 170.054047,8.203360 32.358413 57.472791 94.181823 120.549163 142.762644 169.481982
dco-rig-014,train,0.08442654993084711,0.0858003007075734,0.08960987741457885,0.07145795802402168,0.1414951444614448,0.07183214074147298,0.08627564900997217,0.057225698979445544,True,8.180686 28.992796 61.748037 87.819013 119.639347 143.403915 177.565759,9.122387 29.849861 62.846370 88.001845 119.053575 142.347906 177.008215
dco-rig-015,train,0.08284103436251714,0.05368911410995019,0.05530479879351563,0.07036019829045947,0.14061211023278591,0.04538104860994617,0.049601393382175236,0.05876610883546356,True,9.705316 34.126958 62.704774 92.277075 116.398533 145.687442 179.500000,10.279697 34.864768 63.148592 91.501427 115.403302 144.594942 179.245792
dco-rig-016,train,0.07328599205494055,0.10239763750510265,0.05185128203809811,0.07320184349254977,0.10402973076750437,0.09944053884593747,0.04639515126354789,0.060356577476623,True,6.401703 31.231576 63.548973 85.992329 113.188308 151.392126 176.299262,6.650733 32.558440 64.371955 86.068001 112.176179 150.149691 176.072582
dco-rig-017,train,0.09925038070829936,0.08247485461995856,0.04719933977931195,0.06444635999896346,0.14591122806874762,0.07244429684062231,0.05208802450293852,0.06621237223937781,True,6.961279 28.897449 63.572224 93.049936 114.680353 152.326184 176.506689,7.030842 30.055326 64.636854 93.075906 113.899150 151.400046 176.563873
dco-rig-018,train,0.07857712730340413,0.0753546521014655,0.07030303284363511,0.04058957799013098,0.1323583726572215,0.067964960899913,0.06029707919776723,0.03275670551591292,True,2.196658 29.150039 57.981578 93.899605 112.975915 151.072336 174.998225,2.362380 29.933825 59.050353 94.212979 112.045948 150.097888 174.508853
dco-rig-019,train,0.10115591185023678,0.05126414462227116,0.03916886101218931,0.027664313342023364,0.14070887871046678,0.050678342332139414,0.04431434430173774,0.030179694087279232,True,1.727287 27.925910 60.832179 93.889648 123.010380 148.079338 173.185464,1.217386 29.217515 62.153793 93.681812 122.029849 147.024601 172.826287
dco-rig-020,train,0.07774167504802039,0.09300971731702416,0.07998698893678653,0.03631103064582324,0.12004423683327124,0.08343195390595617,0.06893142899962125,0.03060851507979634,True,5.487682 34.114647 66.492934 93.919672 119.448940 142.180304 177.990020,5.908615 35.254579 67.211881 94.386870 119.347643 141.332302 177.845486
dco-rig-021,train,0.06279015632669666,0.09623822903140089,0.07883112417708772,0.07392009412486975,0.11217944217406833,0.10624433765170346,0.06828923656622954,0.07304666037426684,True,3.179532 36.551797 63.160825 87.336952 113.219819 147.336161 177.684727,3.142915 37.502678 64.476647 87.760192 112.128552 146.470083 177.599567
dco-rig-022,train,0.1015223791015325,0.05947102585588771,0.06010070471105386,0.07433713096189494,0.15479218308963802,0.057919267660050316,0.07021894628331235,0.07906894760041983,True,3.497033 28.376519 67.196418 85.753302 119.099117 143.071349 177.502694,3.521774 29.370182 67.860065 85.388694 118.611606 142.074031 177.206882
dco-rig-023,train,0.03729365072682271,0.07867603363625204,0.07705234153366064,0.018688290496138456,0.07787279498869751,0.08267315126086912,0.08731867097559158,0.02215400799230918,True,9.633638 33.494718 56.447305 86.324606 113.936898 141.529899 175.539575,10.026052 34.241574 58.120714 86.197281 113.072890 140.573591 175.829840
dco-rig-024,train,0.09447901138762643,0.0700446647639802,0.07567123524569085,0.023102619632648837,0.13591037040810366,0.06006095714522506,0.08259439771204877,0.021253197126802098,True,9.590902 27.206159 60.271990 86.695161 115.653871 148.233034 179.500000,9.774960 28.052757 61.328466 86.425768 114.395007 147.231853 178.978365
dco-rig-025,train,0.08226287233550175,0.09681735545582401,0.06863467204773067,0.032886304131567345,0.12133373972348492,0.08372219932759804,0.06470609820929707,0.027736478697173824,True,4.745487 36.254374 65.457445 88.189255 117.154140 152.042140 177.582938,4.867011 37.705669 66.450038 88.390761 116.133025 151.632894 177.502950
dco-rig-026,train,0.0881769770446224,0.08150286573989121,0.044319693780674255,0.043585437717331074,0.12437198401007256,0.06841273440676984,0.0455941238428157,0.03566185423117304,True,5.272183 28.224253 60.130449 86.258375 117.178411 147.774507 176.351147,5.829522 28.622940 61.441031 86.007169 115.856135 146.745279 176.114201
dco-rig-027,train,0.058686928335166824,0.040731858424724696,0.07068527684841545,0.05405567975483553,0.09532653985179768,0.04864027940643744,0.06291345357725397,0.05685289297203458,True,5.743875 33.046800 58.205394 93.109299 123.932443 143.690288 170.729272,6.276919 34.110276 59.201112 92.398411 122.917097 142.680932 170.440845
dco-rig-028,train,0.04703970076226192,0.08229940334186617,0.0387574451679027,0.06891534911500234,0.09460078292229632,0.09074770693735336,0.04085874793623919,0.08144017095163089,True,7.189222 37.750281 59.200269 94.198793 118.311604 153.100328 179.500000,7.424209 39.271282 59.937487 94.083658 117.749995 152.590619 179.285941
dco-rig-029,train,0.04983335677492163,0.08170339625877288,0.03923578504999664,0.018256684984540462,0.09663189099069415,0.09504958237512205,0.039775636442412526,0.01970746040873033,True,4.100504 27.379527 61.832718 93.766986 122.644527 149.241823 175.839176,4.083410 28.541519 63.299213 94.079209 121.652807 148.375824 176.199529
dco-rig-030,development,0.0566375827492705,0.07506608577582477,0.06379738649745285,0.03368676337097678,0.10034534398420958,0.08892502725095683,0.06008955408204005,0.03665536282368165,True,9.708688 30.917583 58.318685 91.822174 116.320221 149.101741 172.367419,9.734367 32.445791 59.622839 91.811835 115.210271 147.771668 172.231077
dco-rig-031,development,0.06735405303925883,0.09750595963975808,0.08440884128458548,0.04401664049037571,0.11218975589470322,0.10086953969729147,0.0693094882997996,0.04090466457998683,True,0.000000 34.537436 57.013217 88.134272 124.432338 143.480741 175.944639,0.326448 36.544350 57.860847 87.540380 123.409867 142.627900 175.517983
dco-rig-032,development,0.06051977568570679,0.04620080033907882,0.07084185800835094,0.021382277766065938,0.09808698784725361,0.05208929168204167,0.06265710028227739,0.02250204394016992,True,7.521030 34.887739 56.716884 91.624871 117.855567 142.674939 172.320748,8.056030 35.167884 57.274460 90.934079 116.958675 141.536069 171.948072
dco-rig-033,development,0.10459487582639747,0.0857244613168177,0.062021455027119324,0.03266591942333365,0.13522843954275843,0.08528659122265692,0.07385286574698534,0.034547353308909345,True,0.980950 37.171498 65.301787 94.344174 124.240110 143.844086 179.500000,1.211476 38.466033 65.851467 94.443520 123.210732 142.448461 178.929865
dco-rig-034,development,0.03681293615894596,0.05122579635099369,0.06383176356249144,0.02856984969040382,0.054664167821914696,0.05186753984320166,0.07759946560812928,0.032567561773983955,True,4.242854 37.783133 63.938209 87.402548 113.301502 144.757119 179.198883,4.654321 39.143524 64.746625 87.867231 111.829457 144.024426 178.867233
dco-rig-035,development,0.04740394494229486,0.10314917801656427,0.05379030948136033,0.0588191267022137,0.08538913829860686,0.12116768433497078,0.06120156788437143,0.07103758152435552,True,7.730344 34.983314 61.460105 85.114061 123.733402 147.131233 175.740678,7.745942 35.640400 62.480356 85.140052 121.757454 145.536528 175.560647
dco-rig-036,development,0.09060713870801804,0.0684648580687113,0.05946798870074228,0.07191179161383143,0.14255725265311248,0.05879751548420652,0.06266769332786092,0.06361214573805261,True,6.382433 32.857817 60.051972 89.565417 121.944375 144.128062 179.500000,6.653638 33.964095 60.916742 89.160224 120.519823 143.199766 179.937077
dco-rig-037,development,0.04511661344074908,0.09166404766104025,0.04268316196383304,0.030249353776642906,0.07312082502138252,0.10301883609439667,0.04668312266292994,0.03691611633231348,True,2.846627 34.139725 60.871489 92.112113 123.142655 148.580179 178.077197,2.675963 34.881404 62.351997 92.236713 121.958516 147.319965 177.932197
dco-rig-038,development,0.0885457816742139,0.07102747515073057,0.07900063421915295,0.055856125645053566,0.11984021975527884,0.05934765021950415,0.08082314088687369,0.046805909997561665,True,0.350078 36.027492 58.580908 92.816592 120.575041 144.968759 179.500000,0.427570 37.448562 59.501231 92.630843 118.933909 143.578364 179.649285
dco-rig-039,development,0.09923644028534294,0.10614697941930351,0.033653602209448304,0.04111842421165526,0.13884203061795067,0.09707509318308279,0.03931265181878081,0.043441718395978934,True,7.437535 28.920326 57.690747 93.574717 113.456460 145.601174 173.710398,7.649798 30.075281 58.948092 93.272848 112.086472 144.355429 173.874171
dco-rig-040,development,0.07400969660057435,0.05505559477263335,0.05741544701880465,0.030118818582914784,0.10429178841971756,0.04805904923194329,0.050669846254747096,0.024662909170226097,True,3.022112 35.310230 66.923963 84.575108 123.221244 149.022956 179.499621,3.150287 36.370793 67.375845 85.027295 121.964943 147.529280 179.544233
dco-rig-041,development,0.10325681345577793,0.10495832154037966,0.07059609866599101,0.03580527151899433,0.15553695761325598,0.10431811144280592,0.08187869909299247,0.03871647013041593,True,0.000000 31.256989 61.739404 92.344196 114.861262 144.530910 177.232030,0.266608 31.650665 62.875021 91.930744 113.588984 142.633167 177.594237
