partition,source_split,base_seed,family,case_id,geometry_digest,geometry_cluster_is_independent_unit,sensor_noise_enabled,camera_bias_enabled,truth_used_only_for_mismatch_evaluator_target,n1_6_deployment_uses_truth,n1_6_deployment_uses_high_order_output,n1_6_observation_source,synthetic_observation_noise_disabled
fit,train,1237,smooth_no_interface,6184958a26b356c2225f,5912c6c9b0a9cba3a9ae4bbf3f5e867bdde92487ebe687a941aca09dfd1aa488,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1237,single_interface,1fb1eff15a4dc8343068,5912c6c9b0a9cba3a9ae4bbf3f5e867bdde92487ebe687a941aca09dfd1aa488,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1259,smooth_no_interface,d943d8f1cf774e4a5d0c,1770135a525625675ff72b7c0b1ab109b505b0161bc74dc871b3913ce93e991d,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1259,single_interface,66ff792c0a1abdafabf9,1770135a525625675ff72b7c0b1ab109b505b0161bc74dc871b3913ce93e991d,True,False,False,True,False,False,case.inference.observations_uv,True
calibration,train,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,True,False,False,True,False,False,case.inference.observations_uv,True
calibration,train,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,True,False,False,True,False,False,case.inference.observations_uv,True
calibration,train,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,True,False,False,True,False,False,case.inference.observations_uv,True
calibration,train,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,True,False,False,True,False,False,case.inference.observations_uv,True
calibration,train,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,True,False,False,True,False,False,case.inference.observations_uv,True
calibration,train,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,True,False,False,True,False,False,case.inference.observations_uv,True
calibration,train,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,True,False,False,True,False,False,case.inference.observations_uv,True
calibration,train,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2153,smooth_no_interface,c67e153f11105dcd0f2c,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2153,single_interface,d1f773e0843797aa3ccb,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2161,smooth_no_interface,a7807f272a639137f150,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,True,False,False,True,False,False,case.inference.observations_uv,True
development,development,2161,single_interface,99689ce39ea56bfb0b6d,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,True,False,False,True,False,False,case.inference.observations_uv,True
