pair_index,training_arm,source_split,source_index,sample_seed,geometry_slot,geometry_id,geometry_partition,mask_bits,assignment_seed,assignment_rule,evaluation_role,selection_commit_preexisted
34,evaluation,val,166,30360827,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
35,evaluation,val,166,30360827,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
36,evaluation,val,169,30360830,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
37,evaluation,val,169,30360830,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
38,evaluation,val,169,30360830,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
39,evaluation,val,169,30360830,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
40,evaluation,val,197,30360858,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
41,evaluation,val,197,30360858,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
42,evaluation,val,197,30360858,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
43,evaluation,val,197,30360858,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
44,evaluation,val,176,30360837,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
45,evaluation,val,176,30360837,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
46,evaluation,val,176,30360837,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
47,evaluation,val,176,30360837,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
48,evaluation,val,186,30360847,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
49,evaluation,val,186,30360847,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
50,evaluation,val,186,30360847,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
51,evaluation,val,186,30360847,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
52,evaluation,val,165,30360826,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
53,evaluation,val,165,30360826,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
54,evaluation,val,165,30360826,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
55,evaluation,val,165,30360826,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
56,evaluation,val,199,30360860,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
57,evaluation,val,199,30360860,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
58,evaluation,val,199,30360860,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
59,evaluation,val,199,30360860,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
60,evaluation,val,193,30360854,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
61,evaluation,val,193,30360854,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
62,evaluation,val,193,30360854,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
63,evaluation,val,193,30360854,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
64,evaluation,val,170,30360831,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
65,evaluation,val,170,30360831,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
66,evaluation,val,170,30360831,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
67,evaluation,val,170,30360831,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
68,evaluation,val,185,30360846,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
69,evaluation,val,185,30360846,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
70,evaluation,val,185,30360846,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
71,evaluation,val,185,30360846,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
72,evaluation,val,183,30360844,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
73,evaluation,val,183,30360844,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
74,evaluation,val,183,30360844,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
75,evaluation,val,183,30360844,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
76,evaluation,val,190,30360851,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
77,evaluation,val,190,30360851,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
78,evaluation,val,190,30360851,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
79,evaluation,val,190,30360851,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
80,evaluation,val,175,30360836,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
81,evaluation,val,175,30360836,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
82,evaluation,val,175,30360836,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
83,evaluation,val,175,30360836,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
84,evaluation,val,177,30360838,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
85,evaluation,val,177,30360838,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
86,evaluation,val,177,30360838,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
87,evaluation,val,177,30360838,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
88,evaluation,val,164,30360825,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
89,evaluation,val,164,30360825,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
90,evaluation,val,164,30360825,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
91,evaluation,val,164,30360825,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
92,evaluation,val,168,30360829,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
93,evaluation,val,168,30360829,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
94,evaluation,val,168,30360829,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
95,evaluation,val,168,30360829,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
96,evaluation,val,182,30360843,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
97,evaluation,val,182,30360843,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
98,evaluation,val,182,30360843,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
99,evaluation,val,182,30360843,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
100,evaluation,val,181,30360842,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
101,evaluation,val,181,30360842,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
102,evaluation,val,181,30360842,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
103,evaluation,val,181,30360842,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
104,evaluation,val,188,30360849,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
105,evaluation,val,188,30360849,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
106,evaluation,val,188,30360849,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
107,evaluation,val,188,30360849,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
108,evaluation,val,194,30360855,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
109,evaluation,val,194,30360855,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
110,evaluation,val,194,30360855,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
111,evaluation,val,194,30360855,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
112,evaluation,val,163,30360824,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
113,evaluation,val,163,30360824,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
114,evaluation,val,163,30360824,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
115,evaluation,val,163,30360824,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
116,evaluation,val,192,30360853,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
117,evaluation,val,192,30360853,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
118,evaluation,val,192,30360853,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
119,evaluation,val,192,30360853,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
120,evaluation,val,187,30360848,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
121,evaluation,val,187,30360848,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
122,evaluation,val,187,30360848,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
123,evaluation,val,187,30360848,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
124,evaluation,val,161,30360822,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
125,evaluation,val,161,30360822,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
126,evaluation,val,161,30360822,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
127,evaluation,val,161,30360822,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
128,evaluation,val,191,30360852,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
129,evaluation,val,191,30360852,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
130,evaluation,val,191,30360852,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
131,evaluation,val,191,30360852,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
132,evaluation,val,195,30360856,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
133,evaluation,val,195,30360856,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
134,evaluation,val,195,30360856,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
135,evaluation,val,195,30360856,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
136,evaluation,val,172,30360833,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
137,evaluation,val,172,30360833,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
138,evaluation,val,172,30360833,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
139,evaluation,val,172,30360833,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
140,evaluation,val,179,30360840,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
141,evaluation,val,179,30360840,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
142,evaluation,val,179,30360840,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
143,evaluation,val,179,30360840,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
144,evaluation,val,162,30360823,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
145,evaluation,val,162,30360823,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
146,evaluation,val,162,30360823,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
147,evaluation,val,162,30360823,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
148,evaluation,val,198,30360859,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
149,evaluation,val,198,30360859,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
150,evaluation,val,198,30360859,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
151,evaluation,val,198,30360859,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
152,evaluation,val,189,30360850,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
153,evaluation,val,189,30360850,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
154,evaluation,val,189,30360850,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
155,evaluation,val,189,30360850,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
156,evaluation,val,184,30360845,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
157,evaluation,val,184,30360845,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
158,evaluation,val,184,30360845,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
159,evaluation,val,184,30360845,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
0,evaluation,test_iid,218,30460839,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
1,evaluation,test_iid,218,30460839,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
2,evaluation,test_iid,218,30460839,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
3,evaluation,test_iid,218,30460839,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
4,evaluation,test_iid,215,30460836,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
5,evaluation,test_iid,215,30460836,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
6,evaluation,test_iid,215,30460836,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
7,evaluation,test_iid,215,30460836,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
8,evaluation,test_iid,209,30460830,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
9,evaluation,test_iid,209,30460830,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
10,evaluation,test_iid,209,30460830,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
11,evaluation,test_iid,209,30460830,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
12,evaluation,test_iid,221,30460842,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
13,evaluation,test_iid,221,30460842,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
14,evaluation,test_iid,221,30460842,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
15,evaluation,test_iid,221,30460842,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
16,evaluation,test_iid,204,30460825,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
17,evaluation,test_iid,204,30460825,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
18,evaluation,test_iid,204,30460825,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
19,evaluation,test_iid,204,30460825,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
20,evaluation,test_iid,214,30460835,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
21,evaluation,test_iid,214,30460835,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
22,evaluation,test_iid,214,30460835,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
23,evaluation,test_iid,214,30460835,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
24,evaluation,test_iid,213,30460834,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
25,evaluation,test_iid,213,30460834,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
26,evaluation,test_iid,213,30460834,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
27,evaluation,test_iid,213,30460834,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
28,evaluation,test_iid,227,30460848,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
29,evaluation,test_iid,227,30460848,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
30,evaluation,test_iid,227,30460848,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
31,evaluation,test_iid,227,30460848,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
32,evaluation,test_iid,208,30460829,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
33,evaluation,test_iid,208,30460829,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
34,evaluation,test_iid,208,30460829,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
35,evaluation,test_iid,208,30460829,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
36,evaluation,test_iid,225,30460846,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
37,evaluation,test_iid,225,30460846,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
38,evaluation,test_iid,225,30460846,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
39,evaluation,test_iid,225,30460846,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
40,evaluation,test_iid,230,30460851,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
41,evaluation,test_iid,230,30460851,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
42,evaluation,test_iid,230,30460851,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
43,evaluation,test_iid,230,30460851,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
44,evaluation,test_iid,229,30460850,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
45,evaluation,test_iid,229,30460850,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
46,evaluation,test_iid,229,30460850,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
47,evaluation,test_iid,229,30460850,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
48,evaluation,test_iid,220,30460841,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
49,evaluation,test_iid,220,30460841,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
50,evaluation,test_iid,220,30460841,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
51,evaluation,test_iid,220,30460841,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
52,evaluation,test_iid,205,30460826,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
53,evaluation,test_iid,205,30460826,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
54,evaluation,test_iid,205,30460826,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
55,evaluation,test_iid,205,30460826,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
56,evaluation,test_iid,224,30460845,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
57,evaluation,test_iid,224,30460845,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
58,evaluation,test_iid,224,30460845,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
59,evaluation,test_iid,224,30460845,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
60,evaluation,test_iid,211,30460832,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
61,evaluation,test_iid,211,30460832,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
62,evaluation,test_iid,211,30460832,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
63,evaluation,test_iid,211,30460832,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
64,evaluation,test_iid,226,30460847,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
65,evaluation,test_iid,226,30460847,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
66,evaluation,test_iid,226,30460847,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
67,evaluation,test_iid,226,30460847,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
68,evaluation,test_iid,212,30460833,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
69,evaluation,test_iid,212,30460833,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
70,evaluation,test_iid,212,30460833,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
71,evaluation,test_iid,212,30460833,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
72,evaluation,test_iid,223,30460844,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
73,evaluation,test_iid,223,30460844,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
74,evaluation,test_iid,223,30460844,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
75,evaluation,test_iid,223,30460844,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
76,evaluation,test_iid,202,30460823,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
77,evaluation,test_iid,202,30460823,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
78,evaluation,test_iid,202,30460823,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
79,evaluation,test_iid,202,30460823,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
80,evaluation,test_iid,200,30460821,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
81,evaluation,test_iid,200,30460821,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
82,evaluation,test_iid,200,30460821,2,g_111001101,geometry_ood,111001101,20261371,all frozen layouts in partition,post_selection_development_audit,True
83,evaluation,test_iid,200,30460821,3,g_111011010,geometry_ood,111011010,20261371,all frozen layouts in partition,post_selection_development_audit,True
84,evaluation,test_iid,210,30460831,0,g_010011111,geometry_ood,010011111,20261371,all frozen layouts in partition,post_selection_development_audit,True
85,evaluation,test_iid,210,30460831,1,g_011011101,geometry_ood,011011101,20261371,all frozen layouts in partition,post_selection_development_audit,True
